,PLAYER,COLLEGE,CONF,GAMES_PLAYED,GAMES_STARTED,RECORD,CMP,ATT,YDS,TD,INT,RUSH_ATT,RUSH_YDS,RUSH_TD,COLL_CMP,COLL_ATT,COLL_YDS,COLL_TD,COLL_INT,COLL_RUSH_ATT,COLL_RUSH_YDS,COLL_RUSH_TDS
61,Kirk Cousins,Michigan St.,Big Ten,74,69,32-35-2,1722,2587,19696,122,64,157,482,14,723,1128,9131,66,30,111,-127,1
62,Ryan Lindley,San Diego St.,MWC,10,6,1-5-0,140,274,1372,3,11,4,7,0,961,1732,12690,90,47,90,-275,2
63,Chandler Harnish,Northern Illinois,MAC,0,0,0-0-0,0,0,0,0,0,0,0,0,687,1110,8944,68,26,538,2983,24
64,Cam Newton,Auburn,SEC,121,120,68-51-1,2279,3820,28073,182,105,919,4770,58,191,292,2908,30,7,285,1586,24
65,Jake Locker,Washington,Pac-10,30,23,9-14-0,408,709,4967,27,22,95,644,5,619,1147,7639,53,35,454,1939,29
66,Blaine Gabbert,Missouri,Big 12,53,47,13-34-0,817,1458,8797,46,45,174,632,3,568,933,6822,40,18,221,458,8
67,Christian Ponder,Florida St.,ACC,38,36,14-21-1,632,1057,6658,38,36,126,639,7,596,965,6872,49,30,296,833,10
68,Andy Dalton,TCU,MWC,120,120,68-50-2,2443,3921,28100,188,104,362,1148,18,812,1317,10314,71,30,413,1611,22
69,Colin Kaepernick,Nevada,WAC,69,58,28-30-0,1011,1692,12271,72,30,375,2300,13,740,1271,10098,82,24,600,4112,59
70,Ryan Mallett,Arkansas,SEC,21,8,3-5-0,190,345,1835,9,10,28,-5,1,552,955,8385,69,24,135,-141,7
71,T.J. Yates,North Carolina,ACC,22,10,4-6-0,179,324,2057,10,11,28,107,1,795,1277,9377,58,46,220,-333,7
72,Nathan Enderle,Idaho,WAC,0,0,0-0-0,0,0,0,0,0,0,0,0,779,1427,10084,74,60,228,-349,3
73,Tyrod Taylor,Virginia Tech,ACC,62,46,23-21-1,835,1356,9529,53,20,326,1836,16,495,865,7017,44,20,501,2196,23
74,Greg McElroy,Alabama,SEC,2,1,0-1-0,19,31,214,1,1,8,30,0,436,658,5691,39,10,114,71,2
75,Sam Bradford,Oklahoma,Big 12,83,83,34-48-1,1855,2967,19449,103,61,146,340,2,604,893,8403,88,16,77,36,5
76,Tim Tebow,Florida,SEC,35,16,8-6-0,173,361,2422,17,9,197,989,12,661,995,9285,88,16,692,2947,57
77,Jimmy Clausen,Notre Dame,Ind,22,14,1-13-0,255,472,2520,7,14,37,102,0,695,1110,8148,60,27,175,-355,5
78,Colt McCoy,Texas,Big 12,39,27,7-20-0,542,896,5958,29,26,128,483,2,1157,1645,13253,112,45,447,1571,20
79,Mike Kafka,Northwestern,Big Ten,4,0,0-0-0,11,16,107,0,2,3,0,0,408,637,4265,19,20,268,887,11
80,Rusty Smith,Florida Atlantic,Sun Belt,3,1,0-1-0,23,45,234,0,4,0,0,0,768,1361,10112,76,36,115,-335,5
81,Tony Pike,Cincinnati,Big East,1,0,0-0-0,6,12,47,0,0,0,0,0,421,682,5018,49,20,94,128,3
82,Levi Brown,Troy,Sun Belt,1,0,0-0-0,2,3,24,0,1,0,0,0,522,830,6284,38,12,87,24,1
83,Matthew Stafford,Georgia,SEC,137,137,64-73-0,3297,5289,37835,234,129,293,1015,14,564,987,7731,51,33,141,213,6
84,Mark Sanchez,USC,Pac-10,78,72,37-35-0,1308,2306,15319,86,87,170,457,13,313,487,3965,41,16,70,33,4
85,Josh Freeman,Kansas St.,Big 12,62,61,25-36-0,1179,2048,13873,81,68,205,946,4,680,1151,8078,44,34,214,343,20
86,Pat White,West Virginia,Big East,13,0,0-0-0,0,5,0,0,0,21,81,0,507,783,6049,56,23,684,4480,47
87,Stephen McGee,Texas A&M,Big 12,3,1,1-0-0,46,82,420,3,0,17,102,0,485,815,5475,28,13,387,1750,11
88,Tom Brandstater,Fresno St.,WAC,1,0,0-0-0,0,2,0,0,0,0,0,0,584,989,6857,47,32,132,152,8
89,Curtis Painter,Purdue,Big Ten,14,8,0-8-0,148,287,1681,6,13,23,109,0,987,1648,11163,67,46,225,348,13
90,Matt Ryan,Boston Col.,ACC,170,170,99-71-0,3956,6053,45610,285,131,375,1124,7,807,1347,9313,56,37,168,58,11
91,Joe Flacco,Delaware,Big East,163,163,96-67-0,3499,5670,38245,212,136,345,811,16,1,4,11,0,0,6,0,0
92,Brian Brohm,Louisville,Big East,3,2,0-2-0,27,52,252,0,5,3,-3,0,780,1185,10775,71,24,172,44,9
93,Chad Henne,Michigan,Big Ten,67,53,18-35-0,1159,1956,12931,58,63,122,355,3,828,1387,9715,87,37,180,-315,3
94,Kevin O'Connell,San Diego St.,MWC,2,0,0-0-0,4,6,23,0,0,3,-6,0,664,1151,7689,46,34,395,1312,19
95,Dennis Dixon,Oregon,Pac-10,4,3,2-1-0,35,59,402,1,2,10,56,1,444,695,5129,38,21,258,1208,12
96,Erik Ainge,Tennessee,SEC,0,0,0-0-0,0,0,0,0,0,0,0,0,733,1210,8700,72,35,82,-227,1
97,Colt Brennan,Hawaii,WAC,0,0,0-0-0,0,0,0,0,0,0,0,0,1115,1584,14193,131,42,267,547,15
98,Andre Woodson,Kentucky,SEC,0,0,0-0-0,0,0,0,0,0,0,0,0,791,1278,9360,79,25,232,-490,5
99,Matt Flynn,LSU,SEC,53,7,3-4-0,219,357,2541,17,11,65,69,1,245,437,3096,31,13,128,340,5
100,Alex Brink,Washington St.,Pac-10,0,0,0-0-0,0,0,0,0,0,0,0,0,848,1451,10913,76,43,246,98,5
101,JaMarcus Russell,LSU,SEC,31,25,7-18-0,354,680,4083,18,23,40,175,1,493,797,6625,52,21,139,79,4
102,Brady Quinn,Notre Dame,Ind,24,20,4-16-0,296,550,3043,12,17,44,185,1,929,1602,11762,95,39,254,182,6
103,Kevin Kolb,Houston,CUSA,34,21,9-12-0,449,755,5206,28,25,69,229,2,964,1565,12964,85,31,472,751,21
104,John Beck,BYU,MWC,9,7,0-7-0,140,239,1417,3,7,19,55,3,885,1418,11021,79,34,267,38,9
105,Drew Stanton,Michigan St.,Big Ten,38,17,11-6-0,345,659,4059,20,24,80,220,2,543,846,6524,42,28,332,1512,15
106,Trent Edwards,Stanford,Pac-10,38,33,14-19-0,563,929,6033,26,30,78,330,3,487,865,5429,36,33,226,199,2
107,Isaiah Stanback,Washington,Pac-10,22,2,0-0-0,0,0,0,0,0,0,0,0,269,523,3868,22,12,234,794,11
108,Troy Smith,Ohio St.,Big Ten,20,8,4-4-0,121,234,1734,8,5,52,230,3,420,670,5720,54,13,293,1168,14
109,Jordan Palmer,Texas-El Paso,CUSA,5,0,0-0-0,11,18,66,0,2,2,3,0,851,1427,11084,88,64,216,-43,7
110,Vince Young,Texas,Big 12,60,50,31-19-0,755,1304,8964,46,51,282,1459,12,444,718,6040,44,28,457,3127,37
111,Matt Leinart,USC,Pac-10,33,18,8-10-0,366,641,4065,15,21,47,89,2,807,1245,10693,99,23,132,-70,9
112,Jay Cutler,Vanderbilt,SEC,153,153,74-79-0,3048,4920,35133,227,160,386,1682,9,710,1242,8697,59,36,453,1256,17
113,Kellen Clemens,Oregon,Pac-10,64,21,8-13-0,350,638,4053,16,21,85,227,3,613,1005,7555,61,24,273,535,6
114,Tarvaris Jackson,Alabama St.,SEC,59,34,17-17-0,640,1073,7263,39,35,171,636,6,17,48,196,1,3,21,-2,0
115,Charlie Whitehurst,Clemson,ACC,26,9,2-7-0,219,396,2463,11,8,56,156,2,817,1368,9665,49,46,266,98,10
